name,address,city,state,zip,is_primary,note,source_name,source_url
JS DIAMOND ENTERPRISES,"16690 Collins Ave, Suite 1103",Sunny Isles Beach,FL,33160,true,Florida corporate records / Sunbiz style principal address.,search.sunbiz.org,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?Detail=FL.DOS.Corporations.Shared.Contracts.FilingRecord&InquiryDirectionType=ForwardRecord&InquiryType=EntityName&ListNameOrder=JICTITUSVILLEAPARTMENTSGP+L210003525480&SearchNameOrder=JID+M031890&SearchTerm=J+I+D+LLC
TRAVEL FUNDERS NETWORK,"3010 LBJ Freeway, Suite 748",Dallas,TX,75234,true,Official website contact section lists this address; some third-party directories show ZIP 75231.,travelfundersnetwork.com,https://www.travelfundersnetwork.com/
PROPHET CAPITAL,"303 Colorado Street, Suite 2050",Austin,TX,78701,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,lei.bloomberg.com,https://lei.bloomberg.com/leis/view/5493008GXEU8NXVCPO11
WILLOUGHBY CAPITAL HOLDINGS,"330 Railroad Avenue, Suite 101",Greenwich,CT,06830,true,Official/contact and investment profiles list this Greenwich address.,sec.gov,https://www.sec.gov/Archives/edgar/data/1806816/0001214659-24-015339-index.htm
MJ HOLDING,7852 S Sayre Ave,Bridgeview,IL,60455,true,Official company contact/address.,mjholding.com,https://www.mjholding.com/legal/
HLM CAPITAL,"1849 Green Bay Road, Suite 200",Highland Park,IL,60035,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,hlmcapital.com,https://www.hlmcapital.com/contact-us.htm
BASIC RESOURCES,"1411 Broadway, 2nd Floor",New York,NY,10018,true,Official company contact/address.,oag.ca.gov,https://oag.ca.gov/system/files/prop65/notices/2021-02177.pdf
TRANCEKA CAPITAL LLC,"1420 Fifth Avenue, Suite 2000",Seattle,WA,98101,true,SEC/IAPD adviser profile address.,files.brokercheck.finra.org,https://files.brokercheck.finra.org/firm/firm_118028.pdf
KICORP,,,,,true,"INVALID: Linda Mirels chairs KI Corporation, not Kikiktagruk Inupiat Corporation; confirmed by New York Senate resolution J2367 and FCC ownership filing; reviewed 2026-08-16",,
FIT FOR LIFE,"10 West 33rd St, Suite 802",New York,NY,10001,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,ffl-group.com,https://www.ffl-group.com/pages/contact-us
SKYBOX CAPITAL,"1 N Wacker Drive, Suite 2402",Chicago,IL,60606,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,linkedin.com,https://www.linkedin.com/company/skyboxcapital
LOGS LEGAL NETWORK,2121 Waukegan Road,Bannockburn,IL,60015,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,alfn.org,https://www.alfn.org/files/ALFN2021ForeclosureIntersect_SessionOverviews_CLE.pdf
BOOK CAPITAL ENTERPRISES,"350 E Las Olas Boulevard, Suite 960",Fort Lauderdale,FL,33301,true,Florida corporate records/Sunbiz style principal address.,bizprofile.net,https://www.bizprofile.net/fl/fort-lauderdale/book-capital-enterprises-llc
EYE SURGERY ASSOCIATES,"300 South Park Road, Suite 300",Hollywood,FL,33021,true,Medical practice location/contact.,eyesurgeryassociatesflorida.com,https://www.eyesurgeryassociatesflorida.com/locations/hollywood/
COMMAND MARKETING INNOVATIONS,70 Outwater Lane,Garfield,NJ,07026,true,Official contact address.,commandmarketinginnovations.com,https://commandmarketinginnovations.com/contact/
"RA COHEN & ASSOCIATES, INC.","250 Park Avenue, Suite 1901",New York,NY,10177,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,documents.dps.ny.gov,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B12B35D32-AFEE-481E-A874-D8B6749C512B%7D
AMIR DEVELOPMENT,"8730 Wilshire Blvd, #300",Beverly Hills,CA,90211,true,Official contact address.,bbb.org,https://www.bbb.org/us/ca/beverly-hills/profile/real-estate-development/amir-development-co-1216-548741
ECI CAPITAL,"2120 Powers Ferry Rd SE, Suite 300",Atlanta,GA,30339,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,search.sunbiz.org,https://search.sunbiz.org/Inquiry/corporationsearch/SearchResultDetail?aggregateId=forl-m19000003631-e8e25789-2dd3-4b3d-b99b-9c5357347f9c&directionType=ForwardList&inquirytype=EntityName&listNameOrder=ECIBUSINESSSOLUTIONS+P220000099340&searchNameOrder=ECICAPITAL+M190000036310&searchTerm=ECIERGE+INC.
MORELAND MANAGEMENT COMPANY,"100 Park Avenue, Suite 215",Orange Village,OH,44122,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,forms.irs.gov,https://forms.irs.gov/app/pod/basicSearch/downloadFile?formId=116288&formType=e8872
ROSEMAWR MANAGEMENT,"1674 Meridian Ave, Suite 420",Miami Beach,FL,33139,true,SEC/IAPD adviser filing address.,search.sunbiz.org,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?Detail=FL.DOS.Corporations.Shared.Contracts.FilingRecord&InquiryDirectionType=ForwardRecord&InquiryType=EntityName&ListNameOrder=ROSEMAWRCAPITALASSOCIATESIV+M220000103870&SearchNameOrder=ROSEMAWRCAPITALMANAGEMENT+B220000003390&SearchTerm=ROSEMARY+PENLAND+LLC
MILL POND CAPITAL,2 Railroad Place,Westport,CT,06880,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,sec.gov,https://www.sec.gov/Archives/edgar/data/2104701/000090266426000256/0000902664-26-000256-index.htm
COMMUNICARE,10123 Alliance Road,Blue Ash,OH,45242,true,Assuming CommuniCare Health Services; name alone has several matches.,communicarehealth.com,https://communicarehealth.com/contact/
"RST DEVELOPMENT, LLC","168 Business Park Dr, Suite 200",Virginia Beach,VA,23462,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,city-data.com,https://www.city-data.com/business-entities/Other-VA-C2.html
THE SHEENA LAW FIRM,"1001 Texas Ave, Suite 240",Houston,TX,77002,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,cases.justia.com,https://cases.justia.com/federal/district-courts/california/candce/5%3A2010cv02862/229555/71/0.pdf
TOMORROW STUDIOS,"345 North Maple Drive, Suite 200",Beverly Hills,CA,90210,true,Production Weekly listing gives this address; official site does not clearly publish street address.,talesfromthecollection.com,https://talesfromthecollection.com/guilty-creatures/
PR MANAGEMENT,"1 Speen Street, Suite 205",Framingham,MA,01701,true,Official home office/contact address.,prmanagementcorp.com,https://prmanagementcorp.com/contact-us.html
"STEREN ELECTRONICS INTERNATIONAL, LLC.","8445 Camino Santa Fe, Suite 203",San Diego,CA,92121,true,family-owned electronics/connectivity firm (since 1956); rebranded as Steren Solutions LLC,bizprofile.net,https://www.bizprofile.net/ca/san-diego/2545
EIGHTEEN CAPITAL GROUP,"11615 Rosewood St, Suite 100",Leawood,KS,66211,true,Business profile/current-ish address; some pages show Kansas City Plaza office.,bbb.org,https://www.bbb.org/us/ks/leawood/profile/real-estate-rentals/eighteen-capital-group-0714-1000006915
SILVER MOUNTAIN PARTNERS,60 Stargazer Way,Sedona,AZ,86336,true,SEC Form D address c/o Leonard Capital Management; may be historical.,sec.gov,https://www.sec.gov/Archives/edgar/data/1659130/000165913016000002/xslFormDX07/primary_doc.xml
"MFAL CONSULTING, LLC",2401 NE 47th Street,Lighthouse Point,FL,33064,true,HIGH (VERIFIED) - final Florida annual report address before the 2025 administrative dissolution; donor later reported retirement; rechecked 2026-08-19,Florida Division of Corporations,https://search.sunbiz.org/Inquiry/corporationsearch/SearchResultDetail?aggregateId=flal-l18000096377-d3d2eccf-4543-4239-a447-382a75f769c2&directionType=ForwardList&inquirytype=EntityName&listNameOrder=MFALCON+L170001657840&searchNameOrder=MFALCONSULTING+L180000963770&searchTerm=MFAVII+LLC
CASTLEKNIGHT,"810 Seventh Avenue, Suite 803",New York,NY,10019,true,SEC/fund records list this address; some current databases show 888 Seventh Avenue/24th Floor.,bizprofile.net,https://www.bizprofile.net/ny/new-york/castleknight-management-lp
PERENNIAL PROPERTIES,"1777 Peachtree Street, Suite 200",Atlanta,GA,30309,true,Official contact page lists this address.,perennialproperties.net,https://www.perennialproperties.net/about-us
VLEIGH MANAGEMENT LLC,"111 Great Neck Road, Suite 400",Great Neck,NY,11021,true,Address appears in Florida filing as manager/principal related address.,search.sunbiz.org,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?aggregateId=flal-l21000188113-d98fc5d4-57fa-491e-9537-438833d7a256&directionType=Initial&inquirytype=OfficerRegisteredAgentName&listNameOrder=MIRIAMFRANCISCACORTESZUNIGA+L110001044301&searchNameOrder=MIRIAMGLAUBACH+L210001881130&searchTerm=Miriam+Flynn-Castro+Living+Trust
CORPAC GROUP,"20803 Biscayne Blvd, Suite 502",Aventura,FL,33180,true,Official headquarters/contact address.,portal.corpacsteel.com,https://portal.corpacsteel.com/About-Us
"AMERICAL MANAGEMENT CO., INC.","10940 Wilshire Boulevard, Suite 1960",Los Angeles,CA,90024,true,"HIGH (VERIFIED) - California registry-derived record confirms the company, address, and Jan Zakowski; rechecked 2026-08-19",California business record,https://www.bizprofile.net/ca/los-angeles/americal-management-company-inc
RETTNER BUILDING MANAGEMENT,"6620 Southpoint Dr. S, Ste 230",Jacksonville,FL,32216,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,search.sunbiz.org,https://search.sunbiz.org/Inquiry/corporationsearch/SearchResultDetail?aggregateId=flal-l23000550247-89d5a764-c33b-4606-8caa-e7252d5b4643&directionType=Initial&inquirytype=EntityName&listNameOrder=WGNPROPERTIES+L190001499510&searchNameOrder=WGNYLLMEMBER+L230005502470&searchTerm=WGN+PROPERTIES%2C+LLC
NELLIS CORPORATION,"7811 Montrose Road, Suite 420",Potomac,MD,20854,true,Official website lists this address.,nelliscorp.com,https://nelliscorp.com/portfolio-items/potomac-village-shopping-center/
PASSION GROWERS,7499 NW 31 Street,Miami,FL,33122,true,Sunbiz exact entity address; some directories show 7911 NW 21st Street.,search.sunbiz.org,https://search.sunbiz.org/Inquiry/corporationsearch/SearchResultDetail?aggregateId=flal-l01000016579-5c40caf8-d26b-4b21-a18d-f5fcb6dad28c&directionType=Initial&inquirytype=EntityName&listNameOrder=PASSIONGROWERS+L010000165791&searchNameOrder=PASSIONGROWERS+L010000165791&searchTerm=PASSION+GROWERS+LLC
"SANDALWOOD SECURITIES, INC.","105 Eisenhower Parkway, Suite 201",Roseland,NJ,07068,true,HIGH (VERIFIED) - official company contact page confirms the current office; rechecked 2026-08-19,Sandalwood Securities,https://www.sandalwoodsecurities.com/contact
UNITEDWEB,"8800 E Chaparral Road, Suite 300",Scottsdale,AZ,85250,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,appsruntheworld.com,https://www.appsruntheworld.com/customers-database/customers/view/unitedweb-usa
DREAMWEAR INC,"183 Madison Ave, 10th Floor",New York,NY,10016,true,Official contact address.,linkedin.com,https://www.linkedin.com/company/dreamwear-inc
"NUT TREE CAPITAL MANAGEMENT, LP","55 Hudson Yards, 22nd Floor",New York,NY,10001,true,Official website lists this address.,sec.gov,https://www.sec.gov/Archives/edgar/data/1661655/000166165526000001/0001661655-26-000001-index.html
HIGHSAGE VENTURES,200 Clarendon Street,Boston,MA,02116,true,Investment profile/listing gives this Boston address; official public site not clearly available.,sec.gov,https://www.sec.gov/Archives/edgar/data/1800227/000090514825000638/0000905148-25-000638-index.htm
LAKESIDE SOFTWARE,"2 Oliver St, STE 700",Boston,MA,02109,true,Official contact page lists Boston headquarters.,play.google.com,https://play.google.com/store/apps/details?id=org.lakesidesoftware.systrack
ASTON CAPITAL,"355 Alhambra Circle, Suite 1350",Coral Gables,FL,33134,true,Sunbiz/company-history records list this Coral Gables address.,search.sunbiz.org,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?Detail=FL.DOS.Corporations.Shared.Contracts.FilingRecord&InquiryDirectionType=ForwardRecord&InquiryType=EntityName&ListNameOrder=ASTONBLUWAVES+L210004094840&SearchNameOrder=ASTONCAPITAL+L140000050330&SearchTerm=A+STOCK+WIRELESS+LLC
PALI ENTERTAINMENT,30778 Hwy 18,Running Springs,CA,92382,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,ilovelakearrowhead.com,https://ilovelakearrowhead.com/visit/
ROCK COMPANIES,"6400 Telegraph Road, Suite 2500",Bloomfield Hills,MI,48301,true,Company/contact listings show this address.,linkedin.com,https://www.linkedin.com/company/rock-companies-llc
AUGUSTA ENTERPRISES,3514 Washington Rd,Augusta,GA,30907,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,ecorp.sos.ga.gov,https://ecorp.sos.ga.gov/BusinessSearch/BusinessInformation?businessId=625726&businessType=Domestic+Profit+Corporation&fromSearch=True
CENTURION REALTY,"500 5th Ave, 39th Floor",New York,NY,10110,true,Official contact page lists this address; name is somewhat generic.,search.sunbiz.org,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?aggregateId=forl-m18000001548-8fc5c776-84be-49a9-8288-8ded8013c8f2&directionType=CurrentList&inquirytype=OfficerRegisteredAgentName&listNameOrder=CENTURIONRACINGGROUPLLC+L130000602521&searchNameOrder=CENTURIONREALTYLLC+M180000015480&searchTerm=Centurion+Racing+Group+Llc
REGATTA USA,"275 Cooper Ave, Suite 116",Tonawanda,NY,14150,true,Official Regatta USA contact address.,regattasport.com,https://regattasport.com/pages/contact
HERCULES,"400 Hamilton Avenue, Suite 310",Palo Alto,CA,94301,true,"HIGH — Hercules Capital BDC (NYSE: HTGC), Palo Alto",sec.gov,https://www.sec.gov/Archives/edgar/data/1280784/000159396817000084/0001593968-17-000084-index-headers.html
LPC REAL ESTATE CORP,"2000 McKinney Avenue, Suite 1000",Dallas,TX,75201,true,"HIGH — Lincoln Property Company (LPC), Dallas HQ",document.epiq11.com,https://document.epiq11.com/document/getdocumentbycode?docId=4589616&projectCode=APY&source=DM
"TALCOTT HOLDINGS, INC","6538 Collins Avenue, Suite 233",Miami Beach,FL,33141,true,HIGH (VERIFIED) - Florida state record identifies Ephraim Greenwall and this company; replaces the unrelated Connecticut insurer; rechecked 2026-08-19,Florida Division of Corporations,https://search.sunbiz.org/Inquiry/corporationsearch/SearchResultDetail?aggregateId=domp-p19000050937-faa381b5-5ec5-4bef-8623-c98d9e4615c1&directionType=Initial&inquirytype=EntityName&listNameOrder=TALCOTTHOLDINGS+P190000509370&searchNameOrder=TALCOTTHOLDINGS+P190000509370&searchTerm=TALCOTT+HOLDINGS%2C+INC.
OMNINET CAPITAL,"9595 Wilshire Blvd, Suite 700",Beverly Hills,CA,90212,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,pppreport.org,https://pppreport.org/location/CA/BEVERLY%2BHILLS
VICTORY PARK,"150 N Riverside Plaza, Suite 5200",Chicago,IL,60606,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,sec.gov,https://www.sec.gov/Archives/edgar/data/1879521/000121390025087279/0001213900-25-087279-index.htm
SANTA MONICA PARTNERS,1865 Palmer Avenue,Larchmont,NY,10538,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,sec.gov,https://www.sec.gov/Archives/edgar/data/904793/000090479321000003/dsny13dno1for20202101.pdf
GOOD HEALTH,410 Cloverleaf Dr,Baldwin Park,CA,91706,true,"HIGH — Good Health Inc dba Premier Pharmacy Services (Stephen E. Samuel, CEO); verified via CA Board of Pharmacy + FDA records [key is the canonical cleaned name; INC unified in manual_typo_overrides.json]",pharmacy.ca.gov,https://www.pharmacy.ca.gov/enforcement/fy1920/ac196863_rph46795
THE MARCUS FOUNDATION,"100 Colony Square, 1175 Peachtree St NE, Suite 2120",Atlanta,GA,30361,true,HIGH (verified) — was incorrectly linked to Home Depot HQ,pp-990-rendered.s3.us-east-1.amazonaws.com,https://pp-990-rendered.s3.us-east-1.amazonaws.com/202103159349100600_IRS990ScheduleB_0.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA266MJEJYTM5WAG5Y%2F20260306%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260306T181134Z&X-Amz-Expires=1800&X-Amz-Signature=6a8478e7aa5424c4b7bd727748ae8c8b2900c57f12d8d6bcd1b7667d33f7bdf6&X-Amz-SignedHeaders=host
GREENSKY,5565 Glenridge Connector,Atlanta,GA,30342,true,"HIGH (verified) — Atlanta HQ, not the Naples FL office",greensky.com,https://www.greensky.com/directions/
"SAMSON ENERGY COMPANY, LLC","110 W 7th St, Suite 2000",Tulsa,OK,74119,true,"HIGH (verified) — Tulsa HQ, not the Houston operations office",tulsachamber.com,https://tulsachamber.com/membership/active-member/samson-energy-company-llc/
FREEPOINT COMMODITIES,58 Commerce Rd,Stamford,CT,06902,true,"HIGH (verified) — Stamford global HQ, not the NY trading desk",eservices.revenue.pa.gov,https://www.eservices.revenue.pa.gov/MAFT/MFT_Class_1-5.pdf
EDWARD C. LEVY CO.,9300 Dix Avenue,Dearborn,MI,48120,true,"HIGH (VERIFIED) - current court service record and Michigan filing confirm Dearborn, not Detroit; rechecked 2026-08-19",U.S. Bankruptcy Court filing,https://casedocs.omniagentsolutions.com/cmsvol2/pub_47527/7c986c5b-20dc-4b00-aaf3-bf78f8457cd4_382.pdf
JLL,200 East Randolph Drive,Chicago,IL,60601,true,Global headquarters; largest donor group is Chicago (replaces invalid row) (web-verified 2026-09-22),jll.com,https://ir.jll.com/resources/contact-investor-relations/default.aspx
HIGHFIELDS CAPITAL,"200 Clarendon St, 59th Floor",Boston,MA,02116,true,"HIGH (verified) — Boston HQ, not the West Conshohocken branch",sec.gov,https://www.sec.gov/Archives/edgar/data/1400891/000106299319001998/xslF345X03/form4.xml
HACKMAN CAPITAL PARTNERS,"11111 Santa Monica Blvd, Suite 850",Los Angeles,CA,90025,true,"HIGH (verified) — LA HQ, not the Dallas branch",files.brokercheck.finra.org,https://files.brokercheck.finra.org/individual/individual_2939887.pdf
EDISON PROPERTIES,110 Edison Pl,Newark,NJ,07102,true,"HIGH (verified) — Newark NJ HQ, not the Philly office",bbb.org,https://www.bbb.org/us/nj/newark/profile/parking-facilities/edison-properties-llc-0221-10001905
CROWNE PARTNERS INC,"100 Grandview Pl, Suite 420",Birmingham,AL,35243,true,"HIGH (verified) — Birmingham AL HQ, not the NYC virtual office",alabamaatj.org,https://alabamaatj.org/wp-content/uploads/2013/09/ATJ-Materials-1.pdf
CHICAGO TRADING COMPANY,"141 W Jackson Blvd, Suite 800",Chicago,IL,60604,true,HIGH (verified) — Chicago Board of Trade tower (moved from 410 N Michigan),disclosures-clerk.house.gov,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026689.pdf
PENNANT HOUSING GROUP,"1900 M Street NW, 3rd Floor",Washington,DC,20036,true,affordable-housing developer (PHG); not Pennant Group Inc (ID healthcare),pennanthousing.com,https://www.pennanthousing.com/contact
STONECOURT CAPITAL LP,"10 East 53rd Street, 13th Floor",New York,NY,10022,true,"HIGH (verified) — Manhattan HQ; ""STONECOURT CAPITAL PARTNERS"" merged into this entry",sec.gov,https://www.sec.gov/Archives/edgar/data/1881796/000156761921018667/0001567619-21-018667-index.htm
MOORE HOLDINGS,"40 West 57th Street, Suite 2010",New York,NY,10019,true,HIGH (verified) — David L. Moore (Chairman & CEO); diversified holding company (PE/VC/investments),mooreholdings.com,https://mooreholdings.com/
FEDWAY ASSOCIATES,505 Martinsville Road,Basking Ridge,NJ,07920,true,HIGH (verified) — NJ's largest wine & spirits distributor (est. 1933); fedway.com; additional sites in Elizabeth + Mount Laurel NJ,linkedin.com,https://www.linkedin.com/company/fedway-associates
BVISION SPORTSMEDIA,111 Valley Drive,Greenwich,CT,06831,true,HIGH (VERIFIED) - company and location source rechecked 2026-08-19,trademarkencyclopedia.com,https://www.trademarkencyclopedia.com/the-love-market/
UNITLEADER,"2159 India Street, Suite 200",San Diego,CA,92101,true,"HIGH (verified) — Unit Leader, LLC (est. 2019); VC/PE focused on PropTech/SaaS/multifamily RE; Dana Zeff (Chief Disrupter/Managing Partner); unitleader.com",bizprofile.net,https://www.bizprofile.net/ca/san-diego/unitleader-simplifyy-llc
MGS PARTNERS,"411 Hackensack Avenue, 5th Floor",Hackensack,NJ,07601,true,"HIGH (verified) — MGS Corporation; propane marketer + petroleum products distributor in NJ; matches donor (Nathan Lindenbaum, propane marketer, Teaneck NJ)",city-data.com,https://www.city-data.com/business-entities/Hackensack-NJ-M.html
BDJ,11175 Santa Monica Blvd,Los Angeles,CA,90025,true,"HIGH (verified) — BD&J, PC (est. 2007); personal injury law firm (auto/truck accidents, wrongful death, product liability); matches donor (Kourosh Moghadam, attorney, LA)",linkedin.com,https://www.linkedin.com/company/bdjinjurylawyers
DANTO INVESTMENT CO.,"1700 Stutz Drive, Suite 25",Troy,MI,48084,true,"HIGH (verified) — Danto Investment Company; owns/operates Michigan Design Center; RE investment + interior-design products; matches donor (James Danto, Bloomfield Hills MI)",yellowpages.com,https://www.yellowpages.com/troy-mi/mip/danto-investment-co-473432879
SHETLAND PROPERTIES,5410 W Roosevelt Road,Chicago,IL,60644,true,"HIGH (verified) — Chicago RE firm; industrial/business park development for SMBs; matches donor (Andrew Lappin, real estate, Glencoe IL)",linkedin.com,https://www.linkedin.com/company/shetland-properties
OAKTREE CAPITAL,"333 South Grand Avenue, 28th Floor",Los Angeles,CA,90071,true,"HIGH (verified) — Oaktree Capital Management (est. 1995); global HQ, alt investments / distressed debt; Howard Marks + Bruce Karsh (founders); Brookfield owns majority",assets.disclosurequest.com,https://assets.disclosurequest.com/Archives/edgar/data/1470991/000118143109043275/xslFormDX01/primary_doc.html
