rid,agree,reason,verdict,organisation,address,city,state,zip,source_name,source_url,note
449,no,"Same verdict, but the researcher put a donor's name in the organisation field, which breaks the rule to keep donor names out. The site's contact page only has a template placeholder address, and the Vienna VA address is unsupported.",home_based,Primus Consulting (one-physician wound-care consulting firm),,Beachwood,OH,44122,Primus Consulting website,https://primusmd.com/,"One-physician consulting practice. The site's contact page shows only a template placeholder address, so there is no public office. The published Vienna VA office-building address is not this firm's."
452,yes,"Re-opened rentprogress.com/locations: Dallas office, 1801 Royal Ln. Suite 307, Dallas TX 75229. It fits the Dallas donor better than the Scottsdale corporate HQ, which the page marks as temporarily closed for relocation.",,,,,,,,,
455,no,"The organisation is certain, so this is not a case for 'ambiguous'; the question is only which office. Two of the three donors are in Scottsdale AZ and one is in Chicago. The quarles.com contact page lists Phoenix at One Renaissance Square, Two North Central Avenue, Suite 600, Phoenix AZ 85004. Madison WI fits no donor.",corrected,Quarles & Brady LLP (Phoenix office),"Two North Central Avenue, Suite 600",Phoenix,AZ,85004,Quarles & Brady - Contact / Locations,https://www.quarles.com/contact,"Two of three donors are Scottsdale-area attorneys, so the firm's Phoenix office (One Renaissance Square) fits best. The Chicago office (155 North Wacker Drive, Suite 3200, Chicago IL 60606) fits the third donor. Madison WI fits none."
459,yes,"Re-opened ramaz.org contact: Upper School, 60 East 78th Street, New York NY 10075.",,,,,,,,,
462,yes,"Re-opened rrc.edu/contact: 1299 Church Road, Wyncote PA 19095. It fits the Bala Cynwyd professor; Bloomfield NJ is wrong.",,,,,,,,,
464,no,"No opened source states 1441 Main St Suite 400; the researcher kept it from the old record, citing a page that only says 'Fort Mill'. redventures.com/contact gives 'Red Ventures HQ, 1423 Red Ventures Drive, Fort Mill, SC 29707'.",corrected,"Red Ventures, LLC",1423 Red Ventures Drive,Fort Mill,SC,29707,Red Ventures - Contact,https://www.redventures.com/contact,"The company's contact page gives its HQ at 1423 Red Ventures Drive, Fort Mill SC 29707. The published 1441 Main St Suite 400 is unsupported."
466,yes,"Re-queried the FDIC API (api.fdic.gov, active): Redemption Bank, 2020 E Murray Holladay Road, 84117. FDIC gives the city as Salt Lake City, where the researcher has Holladay; both are the same address.",,,,,,,,,
469,yes,"Re-opened the chamber's own site rccsgv.com: 18800 Amar Rd, Ste B21, Walnut CA 91789, which matches CauseIQ. The ProPublica filing address (Rowland Heights street) looks like an officer mailing address, and the Monrovia address is a different organisation.",,,,,,,,,
470,yes,"Re-opened republicclothing.com/contact: Republic Clothing Group, 1411 Broadway, New York NY 10018.",,,,,,,,,
472,no,"Address agreed, but the researcher's note names the donor and the source was a personal NPI query by the donor's name. It is replaced with the practice's own organisation NPI record (updated 2026-04-08), which gives 600 Northern Blvd Suite 216, Great Neck NY.",corrected,Long Island Vitreo Retinal Consultants PC (Retina Consultants of America member practice),"600 Northern Blvd, Suite 216",Great Neck,NY,11021,NPPES NPI Registry - Long Island Vitreo Retinal Consultants PC,https://npiregistry.cms.hhs.gov/api/?version=2.1&organization_name=LONG+ISLAND+VITREO*,The donor physician practises with this Long Island member practice of Retina Consultants of America. The published Houston TX address is a different member practice.
474,yes,"Re-queried the NPI API: Rhythm Management Group, PLLC (updated 2025-03-05), 6116 Executive Blvd Ste 670, Rockville MD.",,,,,,,,,
476,no,"The exact name exists: the IAPD API lists RIVERPARK CAPITAL MANAGEMENT LLC (and RiverPark Advisors, LLC) at 156 West 56th Street, 17th Floor, New York NY 10019. RiverPark's own site names the Boca-based donor as CEO and Managing Partner and gives the same address. Not ambiguous. The researcher's Suite 1704 is outdated.",corrected,"RiverPark Capital Management LLC / RiverPark Advisors, LLC (RiverPark Funds)","156 West 56th Street, 17th Floor",New York,NY,10019,RiverPark Funds website (Contact Us footer),https://www.riverparkfunds.com/,"The donor is RiverPark's CEO (per its team page). The firm's only office, per its site and the SEC IAPD record, is 156 W 56th St, 17th Floor. The published 477 Madison Ave address is unsupported."
477,no,"'RJC' is two different organisations here. The Bronx rabbi's filings are from Riverdale, zip 10463, which is the home of the Riverdale Jewish Center (3700 Independence Ave, Bronx NY 10463-1346, per ProPublica EIN 13-1880804). The Woodland Hills CA staff member fits the Republican Jewish Coalition (50 F St NW Ste 100, Washington DC 20001). One address cannot serve both.",ambiguous,,,,,,,,"'RJC' covers two organisations: Riverdale Jewish Center (3700 Independence Ave, Bronx NY 10463) for the Riverdale rabbi, and the Republican Jewish Coalition (50 F St NW Ste 100, Washington DC 20001) for the California staff member. Split the employer by donor if possible."
478,yes,"Re-opened the 2024 Wayback copy of rkwresidential.com/contact: corporate offices are Miami (8200 NW 33rd Street Suite 340, Doral FL 33122) and Charlotte, with none in NY. The current Arqline site is a JS app that shows no address, so currency is only checked to 2024.",,,,,,,,,
479,no,"Same verdict, but the researcher's organisation and note text name the donor, which breaks the rule to keep donor names out. No IAPD, EDGAR or web presence exists for the firm, and the published East Hampton street is residential.",home_based,RLF Capital Advisors (sole-proprietor advisory firm),,East Hampton,NY,11937,,,"Sole-proprietor advisory business. There is no SEC/IAPD registration and no public office, and the published street is a residential road, so no street is given."
481,yes,"Re-opened roadsidedevelopment.com/contact: 3939 Wisconsin Avenue NW, Suite 100, Washington DC 20016.",,,,,,,,,
482,yes,"Re-queried the NPI API: Robert Wood Johnson Physician Enterprise (org NPI 1245587922, active) is at 3 Executive Drive Suite 400, Somerset NJ. The record dates from 2017 and the org site rwjpe.org is down (502), so it is the best available source.",,,,,,,,,
483,yes,"Re-opened the practice's own site rochesterperiodontal.com/contact-us: Rochester Periodontal & Dental Implants, 900 Westfall Road, Suite B, Rochester NY 14618. It matches the NPI record.",,,,,,,,,
484,yes,"Re-queried IAPD and EDGAR: Rockefeller Capital Management, 45 Rockefeller Plaza, Floor 5, New York NY 10111. The donors are in 4 states, so the HQ is right.",,,,,,,,,
487,yes,"Re-opened data.sec.gov CIK0001428439: business address 1173 Coleman Avenue, San Jose CA 95110.",,,,,,,,,
488,no,"The street can be sourced. roomstogo.com/about-us confirms the HQ is in Seffner FL, and the company's own store page lists its Seffner location at 11540 E US Highway 92, Seffner FL 33584. That is the Seffner HQ campus, the same address the related rid 471 row publishes.",corrected,"Rooms To Go, Inc.",11540 E US Highway 92,Seffner,FL,33584,Rooms To Go - Seffner store locator / About Us,https://www.roomstogo.com/stores/seffner,The HQ is in Seffner FL (roomstogo.com/about-us). The company's Seffner site at 11540 E US Highway 92 is on the headquarters campus. The published Venice FL address is wrong.
490,no,"All donors are in New York (NYC and Lawrence NY), and Ropes & Gray has a NY office. A 2026-06-03 SEC S-1 underwriting agreement (Gores Holdings XI) states Ropes & Gray's office at 1211 Avenue of the Americas, New York NY 10036. By the same-metro rule, NY fits better than the Boston HQ.",corrected,Ropes & Gray LLP (New York office),1211 Avenue of the Americas,New York,NY,10036,SEC EDGAR - Gores Holdings XI S-1 exhibit 1.1 (June 2026),https://www.sec.gov/Archives/edgar/data/2086438/000119312526255548/d14537dex11.htm,"All donors are NY-based, so the firm's New York office fits. ropesgray.com is behind a bot-check. The Boston HQ is the Prudential Tower, 800 Boylston St, Boston MA 02199."
