rid,agree,reason,verdict,organisation,address,city,state,zip,source_name,source_url,note
322,no,"A public office exists in the donor's metro, so ambiguous is too cautious. Informa is one company, and its US event businesses list a New York office at 605 3rd Avenue, 22nd Floor, New York NY 10158 (Informa Connect contact page). That fits the Passaic NJ VP. The published 225 Liberty St is not supported by any Informa page.",corrected,Informa (New York office),"605 3rd Avenue, 22nd Floor",New York,NY,10158,Informa Connect - Contact us (office locations),https://www.informaconnect.com/contact-us/,"Informa PLC (London HQ) runs its New York office at 605 3rd Ave, 22nd Fl, as listed by Informa Connect; the Informa Markets contact page also names New York as a main office. The donor's exact division is unknown. The 225 Liberty St address could not be supported."
325,no,"The published address is outdated, and the researcher's source was Wikipedia plus general knowledge. Inova's own contact page (inova.org/contact-us) gives 8095 Innovation Park Drive, Fairfax VA 22031.",corrected,Inova Health System,8095 Innovation Park Drive,Fairfax,VA,22031,Inova - Contact Us,https://www.inova.org/contact-us,"Inova's current system office per its own site (Inova Center for Personalized Health campus); the old 8110 Gatehouse Rd, Falls Church address is no longer listed. It fits the Rockville MD physician (no MD office chosen)."
327,yes,"The IRS is a nationwide federal agency. An IT specialist in Bowie MD most likely works at a field site (e.g. New Carrollton), not at the DC headquarters. generic_no_office is consistent with how other whole federal departments were treated.",,,,,,,,,
330,yes,"Re-opened data.sec.gov (IQVIA Holdings, filings to 2026-09-23): business address 2400 Ellis Road, Durham NC 27703. The donors are split between FL and NJ, so the HQ is fine.",,,,,,,,,
333,yes,"Re-opened jacksonlewis.com/locations/new-york-city: 666 3rd Ave 28th Floor, New York NY 10017. The site states no HQ (White Plains is another office), and the donors are in four states, so the published office is acceptable.",,,,,,,,,
334,yes,"Re-opened jamaicahospital.org/contact-us: footer gives 8900 Vanwyck Expressway, 11418.",,,,,,,,,
335,yes,"Re-opened jamsadr.com: Chicago Resolution Center, 71 S. Wacker Drive Suite 2400, Chicago IL 60606. The donor's JAMS neutral profile gives 'Home Office: Chicago, Illinois', which confirms the Chicago office.",,,,,,,,,
336,yes,"Re-opened data.sec.gov CIK0001689796 (filings to 2026-08): JBG SMITH Properties, 4747 Bethesda Avenue Suite 200, Bethesda MD 20814.",,,,,,,,,
337,yes,"The only NY 'JBS Holdings, LLC' (NY DOS open data) is a Nassau shell whose process address is a law firm, not an office. The published address is the JBS USA meatpacker. not_found is accepted.",,,,,,,,,
338,no,"The researcher's source (jcca.org homepage) does not state the address. ProPublica's IRS record (EIN 13-5599486, filings to 2023) gives 520 8th Ave Rm 1204, New York NY 10018-4182, not the 4th floor.",correct,JCC Association of North America,"520 8th Avenue, Room 1204",New York,NY,10018,"ProPublica Nonprofit Explorer API (IRS record, EIN 13-5599486)",https://projects.propublica.org/nonprofits/api/v2/organizations/135599486.json,Same building as the published address; the IRS record gives the current room as 1204 (not 4th Floor). It fits the Tenafly NJ executive.
340,yes,"Re-opened jerichards.com/contact-us: MARYLAND OFFICES 4600 Hargrove Drive, Lanham MD 20706 (no suite shown). The SD IBEW electrician is a travelling tradesman, so the HQ is fine.",,,,,,,,,
341,yes,"clrbrands.com/terms-of-use (Jelmar, LLC operates the site) gives Clrbrands, 5550 W. Touhy Ave., Suite 200, Skokie IL 60077. That is a better source than the homepage the researcher cited, but the address matches.",,,,,,,,,
342,no,"The researcher's source (jinsa.org homepage) does not state the address. ProPublica's IRS record (EIN 52-1233683) gives 1101 14th St NW Ste 1030, Washington DC 20005-5635, not Suite 1400. Also, the researcher's employer_name merged the address text into the name; the target rid 342 is 'JINSA', the same organisation.",correct,Jewish Institute for National Security of America (JINSA),"1101 14th St NW, Suite 1030",Washington,DC,20005,"ProPublica Nonprofit Explorer API (IRS record, EIN 52-1233683)",https://projects.propublica.org/nonprofits/api/v2/organizations/521233683.json,JINSA's DC office in the same building as published; the IRS record gives Suite 1030 (published said 1400). The donors are FL fundraising staff; no Florida office found.
343,yes,"No organisation called 'JTS' can be tied to a Mount Pleasant SC attorney, and the Dallas address is unsupported. not_found is accepted.",,,,,,,,,
344,yes,"Jump Trading, LLC's SEC record (last 13F in 2019) gives 600 W. Chicago Ave. Suite 825, Chicago IL 60654. jumptrading.com shows Chicago and New York offices but no street, so the Chicago HQ is fine.",,,,,,,,,
346,no,"The researcher's SEC source is a 2011 Form D. Kajeet's own privacy policy (kajeet.com/privacy-policy, updated 2023) gives its contact office as 8607 Westwood Center Drive, Suite 390, Tysons VA 22182; an older CPNI line on the same page names 7901 Jones Branch Dr, McLean. Bethesda MD is years out of date.",corrected,"Kajeet, Inc.","8607 Westwood Center Drive, Suite 390",Tysons,VA,22182,Kajeet - Privacy Policy (contact information),https://www.kajeet.com/privacy-policy,Kajeet's current contact address per its own privacy policy; the published Reston 1791 Preuss Rd and the SEC 2011 Bethesda address are unsupported/outdated.
347,yes,"Re-opened jewishkansascity.org: the footer gives the Jewish Federation of Greater Kansas City at ...115th Street Suite 201, Overland Park KS 66211, and links to the KC Jewish Chronicle.",,,,,,,,,
349,no,"KCC is ambiguous. One donor ('entertainment', NY) matches the chairman of Krebs Communications Corp. That is a NY music-management company whose NY DOS location is a residential Upper East Side address. The other donor is a DC lawyer. Nothing ties either donor to Kurtzman Carson Consultants (Verita Global, El Segundo CA).",ambiguous,,,,,,,,"Candidates: Krebs Communications Corp. (NY entertainment management; the NY DOS location looks residential, so no street) and Kurtzman Carson Consultants/Verita Global (222 N Pacific Coast Hwy, 3rd Floor, El Segundo CA 90245). The DC lawyer's KCC is unidentified."
350,yes,"kw.com is blocked (403), but Texas Comptroller open data (data.texas.gov taxpayer records) lists Keller Williams Realty, LLC at 1221 S MOPAC EXPY STE 400, AUSTIN 78746, which confirms the HQ. The donors are agents at franchise offices in four states.",,,,,,,,,
351,yes,"Re-opened data.sec.gov (Kelly Services, filings to 2026-09): 999 W Big Beaver Rd, Troy MI 48084. No Kelly office found near the Brookline MA donor, so the parent HQ is acceptable.",,,,,,,,,
352,no,"The address is real but a better-sourced office fits. Colorado SOS open data lists Kentwood Real Estate Services, LLC and Kentwood, LLC at 4949 S Niagara St Ste 400, Denver CO 80237, their principal office. The Cherry Creek, DTC and City Properties LLCs were merged into it. That office is in the DTC, next to Englewood. The researcher's only source was a YellowPages search page.",corrected,Kentwood Real Estate,"4949 S Niagara St, Suite 400",Denver,CO,80237,Colorado Secretary of State business entities (data.colorado.gov),https://data.colorado.gov/resource/4ykn-tg5h.json?$where=upper(entityname)%20like%20%27KENTWOOD%25%27,"Kentwood Real Estate's principal office (DTC), per the Colorado SOS; it fits the Englewood CO realtor. The Cherry Creek office at 215 Saint Paul St Ste 200 is also listed in directories."
353,yes,"Re-opened data.sec.gov (Kraft Heinz, filings to 2026-09): One PPG Place, Pittsburgh PA 15222.",,,,,,,,,
354,no,"Every donor is in New York, and the firm has a New York office. The firm's own page ktslaw.com/Locations/NewYork gives 3 Times Square, New York NY 10036. The Atlanta HQ is correct but does not fit the donors.",corrected,Kilpatrick Townsend & Stockton LLP (New York office),3 Times Square,New York,NY,10036,Kilpatrick Townsend - New York office,https://ktslaw.com/Locations/NewYork,"New York office of the firm, which fits all the NY donors. The firm HQ is 1100 Peachtree Street NE, Suite 2800, Atlanta GA 30309."
355,no,"The source does not state the address. The researcher relied on general knowledge. Every kindsnacks.com contact or policy page returns 403 here, and no registry record for KIND LLC with a location could be found, so 120 Varick St was not seen on any page. The founder donor now lives in Austin TX.",not_found,"KIND LLC (KIND Snacks, a Mars subsidiary)",,,,,,,"UNCHECKED: search budget. The organisation is certain (the donor is the founder), but the NYC office street (published 120 Varick St, 4th Floor) could not be confirmed on any page opened here; redo from kindsnacks.com contact/legal pages."
357,yes,"NY DOS open data shows a KOTEL PARTNERS L.L.C. (NY, 1998) with a process address at 234 West 56th St Ste 200. That is a 28-year-old service-of-process address, not evidence of a current office, and it does not fit the FL general partner. not_found is accepted.",,,,,,,,,
359,yes,"Re-opened kyndryl.com contact-us: Corporate Headquarters 1 Vanderbilt Ave, 15th Floor, New York NY 10017. The SEC record agrees.",,,,,,,,,
362,no,"The firm has an office in the donor's metro. Lathrop GPM's locations page lists Los Angeles, 2029 Century Park East, Suite 1280N, Los Angeles CA 90067-1623, which fits the Encino CA attorney. The Kansas City address (2323 Grand Blvd, Suite 800) is correct but is the wrong office.",corrected,Lathrop GPM LLP (formerly Lathrop Gage) - Los Angeles office,"2029 Century Park East, Suite 1280N",Los Angeles,CA,90067,Lathrop GPM - Locations,https://www.lathropgpm.com/locations/,"Lathrop Gage is now Lathrop GPM; its Los Angeles office fits the Encino donor. The Kansas City HQ is 2323 Grand Blvd, Suite 800, Kansas City MO 64108."
